raw_actual_anchor_quality,anchor_quality_logits_recon,raw_actual_positive_quality,positive_quality_logits_recon,raw_actual_negative_quality,negative_quality_logits_recon,raw_actual_anchor_resonance,anchor_resonance_recon,raw_actual_positive_resonance,positive_resonance_recon,raw_actual_negative_resonance,negative_resonance_recon,raw_actual_anchor_tension,anchor_tension_recon,raw_actual_positive_tension,positive_tension_recon,raw_actual_negative_tension,negative_tension_recon,raw_actual_anchor_longevity_cos,anchor_longevity_cos_recon,raw_actual_positive_longevity_cos,positive_longevity_cos_recon,raw_actual_negative_longevity_cos,negative_longevity_cos_recon,raw_actual_anchor_longevity_sin,anchor_longevity_sin_recon,raw_actual_positive_longevity_sin,positive_longevity_sin_recon,raw_actual_negative_longevity_sin,negative_longevity_sin_recon
0,0,1,1,6,6,0.090548,0.088909656,-0.020252516,-0.013429612,-0.8901276,-0.7067814,-0.97646374,-0.9988614,-1.0474225,-0.9491575,-0.2885968,-0.30258518,0.89536065,0.9067823,0.894015,0.8543914,0.72208285,0.7477127,0.44534174,0.4361366,0.44803697,0.48126504,0.6918066,0.6566118
0,0,0,0,6,6,-0.012658354,0.013775215,0.45838884,0.48231402,-1.0084227,-1.0315866,-1.0448045,-1.0769464,-1.025916,-1.0657839,-0.28768873,-0.2543379,0.896126,0.9429054,0.8378101,0.8538036,0.7223061,0.7477127,0.4437998,0.373552,0.54596174,0.50654733,0.6915735,0.6566118
0,0,1,1,6,6,-0.032078873,-0.042700738,0.063335486,0.049737357,-0.87665564,-0.69817495,-1.0035665,-0.8214603,-1.0221207,-0.98530084,-0.35549468,-0.4060874,0.896126,0.9429054,0.8378101,0.81408155,0.7223061,0.7477127,0.4437998,0.373552,0.54596174,0.5715658,0.6915735,0.6566118
0,0,0,0,6,6,0.0036650116,-0.017823935,-0.49191985,-0.2942595,1.008886,1.0573624,-0.99626815,-1.0709921,-0.96697366,-0.9671225,-0.4168943,-0.4307843,0.8960304,0.8208538,0.92701805,0.8577695,0.72215724,0.7477127,0.4439926,0.5369395,0.37501666,0.5250101,0.6917289,0.6566118
0,0,0,0,6,6,-0.050802566,-0.038489446,-0.45612237,-0.41641018,-0.81782323,-1.1185734,-1.0099481,-0.95858395,-1.0733793,-1.1584927,-0.35729343,-0.30837223,0.89536065,0.9064083,0.8954565,0.90520227,0.72208285,0.7477127,0.44534174,0.433903,0.44514906,0.43423393,0.6918066,0.6566118
0,0,1,1,6,6,-0.0065197186,-0.039792523,0.04762437,0.045473382,1.0776657,1.1377977,-1.0044702,-1.2661229,-0.997222,-1.127554,-0.36650914,-0.32223824,0.896126,0.8710719,0.89622146,0.89163184,0.7223061,0.7477127,0.4437998,0.492759,0.44360694,0.41662943,0.6915735,0.6566118
0,0,0,0,6,6,-0.022708824,-0.06305891,-0.023796357,-0.07641879,0.94922465,1.246634,-0.9855304,-1.2834975,-0.9645362,-1.0274788,-0.39132,-0.36868015,0.896126,0.8710719,0.92953867,1.0012895,0.7223061,0.7477127,0.4437998,0.492759,0.36872467,0.28595096,0.6915735,0.6566118
0,0,0,0,6,6,-0.05940113,-0.06925471,0.05256916,0.03231042,-0.830898,-0.9716933,-1.0109231,-1.1633013,-0.88619936,-0.97005695,-0.31941512,-0.28622785,0.8960304,0.90596,0.896126,0.8342528,0.72215724,0.7477127,0.4439926,0.4331211,0.4437998,0.5521427,0.6917289,0.6566118
0,0,0,0,6,6,0.071458265,0.062488087,0.5492516,0.571859,-0.8801118,-0.7043383,-1.0585405,-0.9586571,-0.9383797,-0.84179455,-0.34112483,-0.3066762,0.89536065,0.7825772,0.8954565,0.8703811,0.72208285,0.7477127,0.44534174,0.5959112,0.44514906,0.4937263,0.6918066,0.6566118
0,0,0,0,6,6,0.04744565,0.037719943,-0.023219282,0.02368246,0.8650854,0.7824228,-0.9103264,-0.8717023,-1.0600575,-1.0334923,-0.3471488,-0.3556103,0.896126,0.9060863,0.8157298,0.80744666,0.7223061,0.7477127,0.4437998,0.43293566,0.5784331,0.57813007,0.6915735,0.6566118
0,0,0,0,6,6,0.090627514,0.08113439,-0.01610386,-0.05319333,0.9060956,1.0683767,-0.9850779,-0.9413084,-0.89825046,-0.9107185,-0.3563013,-0.2943835,0.896126,0.8192404,0.894785,0.9060459,0.7223061,0.7477127,0.4437998,0.5350354,0.44649735,0.43718815,0.6915735,0.6566118
0,0,0,0,6,6,0.07453316,0.07610489,0.5925664,0.46688908,0.9542402,0.87327814,-0.9787523,-0.8743002,-0.9386185,-1.0082037,-0.2809718,-0.2438426,0.8960304,0.9073263,0.896126,0.8183029,0.72215724,0.7477127,0.4439926,0.4325585,0.4437998,0.5366133,0.6917289,0.6566118
0,0,0,0,6,6,0.04836246,0.031959407,0.05834741,0.04331416,0.9057672,0.9504949,-1.0379406,-1.061791,-1.019101,-0.98532766,-0.35211545,-0.37296054,0.89536065,0.86894995,0.92766225,0.9502032,0.72208285,0.7477127,0.44534174,0.49438113,0.37342033,0.3679646,0.6918066,0.6566118
0,0,0,0,6,6,0.01399412,0.0025801137,0.079320855,0.06061777,-0.9538005,-1.1361086,-0.94361526,-0.89928216,-1.0763726,-1.1473521,-0.38913178,-0.3815682,0.896126,0.87063825,0.89622146,0.85478175,0.7223061,0.7477127,0.4437998,0.49175018,0.44360694,0.4760631,0.6915735,0.6566118
0,0,0,0,6,6,0.0138990255,0.010018021,-0.006981187,-0.014654934,-0.9551555,-0.86062276,-0.89260596,-1.0738074,-1.0536598,-0.8774484,-0.41090414,-0.3568787,0.896126,0.8915075,0.8781146,0.9140126,0.7223061,0.7477127,0.4437998,0.41683716,0.47845045,0.4167633,0.6915735,0.6566118
0,0,0,0,6,6,0.02782987,0.01602202,-0.04848057,-0.027280584,-0.92668736,-1.0863264,-0.99016255,-0.8274362,-1.0185462,-1.0975548,-0.315856,-0.24446681,0.8960304,0.8709732,0.8376926,0.8173639,0.72215724,0.7477127,0.4439926,0.49289715,0.54614204,0.5682662,0.6917289,0.6566118
0,0,1,1,6,6,0.09659445,0.08694149,0.071228914,0.06831191,-0.87796074,-0.95040095,-0.884203,-0.93375206,-0.9895711,-1.179159,-0.2794474,-0.30327678,0.89536065,0.9416469,0.92645216,0.95137,0.72208285,0.7477127,0.44534174,0.375436,0.37641254,0.36788508,0.6918066,0.6566118
0,0,0,0,6,6,0.035586346,0.03968864,0.23345776,0.26142251,0.91626185,0.84326625,-1.0626258,-1.020826,-0.9569687,-1.1450611,-0.4348034,-0.4429402,0.896126,0.90745735,0.897696,0.9454967,0.7223061,0.7477127,0.4437998,0.43236652,0.44061536,0.36967227,0.6915735,0.6566118
0,0,0,0,6,6,0.013115294,0.02233968,0.19517606,0.22486967,-0.9322073,-1.2741961,-1.0217383,-0.9940139,-0.94357026,-0.95580703,-0.40842313,-0.41570187,0.896126,0.9429054,0.9421857,0.9189651,0.7223061,0.7477127,0.4437998,0.373552,0.33509117,0.4282304,0.6915735,0.6566118
0,0,0,0,6,6,0.03373091,0.009697638,0.018659795,0.013368368,0.95535207,0.8777689,-0.9241085,-1.06117,-0.9640471,-1.0256665,-0.4341484,-0.3998449,0.8960304,0.8354307,0.8976012,0.8575792,0.72215724,0.7477127,0.4439926,0.55301577,0.44080853,0.47310817,0.6917289,0.6566118
0,0,1,1,6,6,-0.02046174,-0.07149999,-0.5772773,-0.41140428,-0.8793699,-0.8610141,-0.9218185,-1.1038688,-1.0235696,-1.044889,-0.37989536,-0.41870746,0.89536065,0.8702824,0.9122426,0.8297305,0.72208285,0.7477127,0.44534174,0.49386463,0.40965042,0.52050376,0.6918066,0.6566118
0,0,0,0,6,6,0.033203147,0.028323181,0.30478442,0.34702978,0.92168695,0.3516569,-1.0090529,-1.069371,-1.0173972,-1.1044302,-0.36951515,-0.37379032,0.896126,0.8345586,0.897696,0.9081669,0.7223061,0.7477127,0.4437998,0.55451214,0.44061536,0.42987955,0.6915735,0.6566118
0,0,0,0,6,6,0.07480399,0.049663775,-0.023453308,-0.012881741,0.8703222,0.8131709,-0.9845653,-0.89556456,-1.0772775,-0.9897698,-0.37435108,-0.32013184,0.896126,0.87231517,0.89622146,0.89163184,0.7223061,0.7477127,0.4437998,0.49355048,0.44360694,0.41662943,0.6915735,0.6566118
0,0,1,1,6,6,-0.09052099,-0.084580064,0.020339362,0.034460038,-0.9409018,-1.1027613,-0.96175677,-1.1342016,-0.98347133,-0.951742,-0.3966822,-0.474832,0.8960304,0.9427481,0.896126,0.8709441,0.72215724,0.7477127,0.4439926,0.3737874,0.4437998,0.49411964,0.6917289,0.6566118
0,0,1,1,6,6,-0.0490345,-0.09401843,-0.042203315,-0.07708496,0.8440165,0.7745615,-0.91260546,-0.7744695,-0.87698543,-0.8805642,-0.34331533,-0.3604632,0.89536065,0.8543868,0.87573594,0.77570057,0.72208285,0.7477127,0.44534174,0.4784607,0.4827904,0.6078838,0.6918066,0.6566118
0,0,0,0,6,6,0.030591851,0.013361685,-0.17277263,-0.15736833,0.7773721,0.71538556,-0.9752404,-0.89412457,-0.9992637,-0.99813676,-0.3610446,-0.3556409,0.896126,0.9429054,0.897696,0.856636,0.7223061,0.7477127,0.4437998,0.373552,0.44061536,0.47469455,0.6915735,0.6566118
0,0,0,0,6,6,0.0040970673,-0.007400006,-0.5152097,-0.35671082,-0.90567267,-0.90458035,-0.99310046,-1.0195823,-0.6355981,-0.7101186,-0.39890254,-0.41631168,0.896126,0.8697008,0.897696,0.90961736,0.7223061,0.7477127,0.4437998,0.49332815,0.44061536,0.42920226,0.6915735,0.6566118
0,0,1,1,6,6,0.028960858,-0.0035477132,-0.11222498,-0.083644,-0.9372221,-0.921221,-0.9937492,-0.94239795,-1.0352848,-1.1770155,-0.39450067,-0.40274185,0.8960304,0.8709732,0.86024874,0.8360578,0.72215724,0.7477127,0.4439926,0.49289715,0.50987464,0.540377,0.6917289,0.6566118
0,0,0,0,6,6,-0.002909129,-0.015539855,-0.33075815,-0.29960158,-1.0131726,-1.0069804,-1.0469848,-0.67917126,-0.55163914,-0.5482574,-0.29991716,-0.2871138,0.89536065,0.85527414,0.9416075,0.9221227,0.72208285,0.7477127,0.44534174,0.47696608,0.33671257,0.42525154,0.6918066,0.6566118
0,0,1,1,6,6,-0.0047654747,-0.0066407323,0.10415162,0.08636962,0.9419825,0.9881593,-0.9615837,-0.8689525,-1.0337714,-1.0704254,-0.39857382,-0.466086,0.896126,0.9429054,0.89622146,0.8552139,0.7223061,0.7477127,0.4437998,0.373552,0.44360694,0.4770758,0.6915735,0.6566118
0,0,0,0,6,6,-0.022752687,-0.033795953,-0.039310686,-0.007841304,-0.9126199,-0.6407492,-1.045273,-1.0104767,-1.0159297,-1.1509123,-0.37697044,-0.385349,0.896126,0.81967396,0.897696,0.79965293,0.7223061,0.7477127,0.4437998,0.5360441,0.44061536,0.61286986,0.6915735,0.6566118
