raw_actual_anchor_quality,anchor_quality_logits_recon,raw_actual_positive_quality,positive_quality_logits_recon,raw_actual_negative_quality,negative_quality_logits_recon,raw_actual_anchor_resonance,anchor_resonance_recon,raw_actual_positive_resonance,positive_resonance_recon,raw_actual_negative_resonance,negative_resonance_recon,raw_actual_anchor_tension,anchor_tension_recon,raw_actual_positive_tension,positive_tension_recon,raw_actual_negative_tension,negative_tension_recon,raw_actual_anchor_longevity_cos,anchor_longevity_cos_recon,raw_actual_positive_longevity_cos,positive_longevity_cos_recon,raw_actual_negative_longevity_cos,negative_longevity_cos_recon,raw_actual_anchor_longevity_sin,anchor_longevity_sin_recon,raw_actual_positive_longevity_sin,positive_longevity_sin_recon,raw_actual_negative_longevity_sin,negative_longevity_sin_recon
0,0,0,0,6,6,-0.032662623,-0.049017318,0.69564587,0.8077157,-0.8786422,-0.75343573,-0.4413107,-0.43749797,-0.3598779,-0.31318977,0.25172338,0.19455251,0.89536065,0.9162677,0.8969362,0.86973786,0.72208285,0.7435566,0.44534174,0.4375003,0.44216004,0.476359,0.6918066,0.6554875
2,2,2,2,8,8,0.028935302,0.028003708,-0.58084106,-0.6938544,-0.9721891,-1.131581,-0.040298887,-0.048069283,-0.0048431614,-0.0018754229,0.7347058,0.6795642,0.896126,0.9144893,0.8157298,0.82443774,0.7223061,0.7435566,0.4437998,0.37535414,0.5784331,0.5593025,0.6915735,0.6554875
0,0,0,0,6,6,-0.035536084,-0.053252585,-0.03378737,-0.027802788,0.92436755,0.85083765,-0.36571845,-0.30890217,-0.30298612,-0.29077283,0.37525225,0.39854443,0.8960304,0.94617534,0.81753063,0.80147314,0.72215724,0.7435566,0.4439926,0.3764292,0.5758852,0.6035919,0.6917289,0.6554875
0,0,0,0,6,6,-0.012944498,-0.039054908,-0.58396554,-0.38459185,-0.8733863,-1.0126661,-0.20439136,-0.20177846,0.11699303,0.14211747,0.37671885,0.3273171,0.896126,0.80678946,0.897696,0.8558889,0.7223061,0.7435566,0.4437998,0.5358591,0.44061536,0.55236614,0.6915735,0.6554875
0,0,0,0,6,6,0.034573946,0.028047852,-0.01792059,-0.034825437,-0.8838702,-1.095139,-0.23964818,-0.22983131,-0.3132242,-0.3159669,0.34235105,0.33139265,0.896126,0.88418233,0.89622146,0.9141373,0.7223061,0.7435566,0.4437998,0.43441686,0.44360694,0.4345973,0.6915735,0.6554875
2,2,3,3,8,8,-0.072561346,-0.10105129,0.09700391,0.092442445,0.8506756,0.887026,-0.15951197,-0.17276809,-0.26465154,-0.2675187,0.3861918,0.40698904,0.896126,0.85327387,0.92709875,0.9405091,0.7223061,0.7435566,0.4437998,0.49544337,0.37481716,0.34414557,0.6915735,0.6554875
0,0,1,1,6,6,-0.0067158206,-0.030205958,0.24637745,0.22516412,0.8937287,1.1713883,-0.59417474,-0.6636836,-0.5928591,-0.59645724,0.099229604,0.06284129,0.896126,0.8851162,0.8781146,0.9174557,0.7223061,0.7435566,0.4437998,0.4962778,0.47845045,0.42036048,0.6915735,0.6554875
0,0,0,0,6,6,0.008473035,-0.009273343,-0.029479554,-0.058938257,-1.0368656,-1.2187706,-0.40823156,-0.41397807,-0.3406936,-0.34329793,0.2644821,0.23514152,0.896126,0.9140072,0.9421857,0.85345614,0.7223061,0.7435566,0.4437998,0.43479043,0.33509117,0.50609565,0.6915735,0.6554875
2,2,3,3,8,8,0.07781683,0.060899295,0.49237502,0.5100815,-0.9647067,-0.7263438,-0.048163146,-0.06595951,0.4059694,0.47140777,0.6651902,0.78764606,0.896126,0.8044609,0.95461494,0.95400405,0.7223061,0.7435566,0.4437998,0.59642214,0.2978428,0.4011665,0.6915735,0.6554875
0,0,0,0,6,6,0.030269114,0.014084481,-0.044293046,-0.0027586967,-0.98358613,-0.7775785,-0.0012691543,0.0040644333,0.31154865,0.42843264,0.58840126,0.7817969,0.896126,0.8821649,0.894785,0.88253266,0.7223061,0.7435566,0.4437998,0.43395597,0.44649735,0.4371671,0.6915735,0.6554875
0,0,0,0,6,6,-0.005708544,-0.009653486,0.4359245,0.3494475,-0.8939016,-0.9490294,-0.2765016,-0.25570568,-0.047409434,-0.014201261,0.3667169,0.35195273,0.8960304,0.83529323,0.81560534,0.818582,0.72215724,0.7435566,0.4439926,0.5355173,0.57860863,0.571267,0.6917289,0.6554875
0,0,0,0,6,6,0.0376623,0.052514315,-0.047359277,-0.03550545,0.85798043,0.7734632,-1.0056344,-0.8706712,-1.0583366,-1.0747939,-0.34815583,-0.3408,0.896126,0.9160246,0.95461494,0.8810024,0.7223061,0.7435566,0.4437998,0.4352513,0.2978428,0.46155393,0.6915735,0.6554875
0,0,0,0,6,6,-0.054104067,-0.067805685,-0.4488991,-0.44080666,0.8291091,0.8671421,-0.34184644,-0.29457575,-0.24831837,-0.23215997,0.24260177,0.28829625,0.8960304,0.8511713,0.9545508,1.0014911,0.72215724,0.7435566,0.4439926,0.4951181,0.2980482,0.30044186,0.6917289,0.6554875
0,0,0,0,6,6,-0.08189331,-0.11256207,-0.33701342,-0.3262112,-0.9548886,-1.1225845,-0.61468494,-0.6180696,-0.122990094,-0.11145508,0.084566765,0.07212169,0.89536065,0.8511255,0.8954565,0.8649827,0.72208285,0.7435566,0.44534174,0.49420917,0.44514906,0.47749788,0.6918066,0.6554875
2,2,3,3,8,8,-0.04331453,-0.0394584,-0.24432191,-0.2159572,-0.9552427,-0.85148627,0.0965549,0.100438975,0.37301645,0.361233,0.6620249,0.66756684,0.896126,0.8980008,0.8797054,0.91996104,0.7223061,0.7435566,0.4437998,0.41773105,0.47551906,0.41654956,0.6915735,0.6554875
0,0,0,0,6,6,-0.002414068,-0.010405652,0.09653551,0.07323897,-0.8296541,-0.95912105,-0.4576159,-0.41625273,-0.5036471,-0.5035142,0.22657935,0.19532591,0.89536065,0.8842831,0.8954565,0.8862468,0.72208285,0.7435566,0.44534174,0.49738252,0.44514906,0.4960732,0.6918066,0.6554875
0,0,0,0,6,6,0.015206543,-0.0056496933,-0.6190215,-0.4345477,-0.90019584,-0.8473175,-0.21177284,-0.20747688,0.07736335,0.050818644,0.39457777,0.4189344,0.8960304,0.94617534,0.8585434,0.8655465,0.72215724,0.7435566,0.4439926,0.3764292,0.5127409,0.5083019,0.6917289,0.6554875
0,0,1,1,6,6,-0.07343011,-0.0707703,0.60746294,0.7060588,-0.935146,-0.8911064,-0.5234657,-0.49130505,-0.5397106,-0.60838825,0.06370054,0.092313014,0.896126,0.9160246,0.89622146,0.94648796,0.7223061,0.7435566,0.4437998,0.4352513,0.44360694,0.37594795,0.6915735,0.6554875
0,0,1,1,6,6,-0.044113915,-0.03810043,0.027765648,0.010745801,-0.91426843,-1.2312813,-0.50469244,-0.46507215,-0.41761583,-0.4086942,0.1687235,0.19048122,0.8960304,0.94617534,0.8780116,0.8664972,0.72215724,0.7435566,0.4439926,0.3764292,0.47863936,0.51848793,0.6917289,0.6554875
2,2,2,2,8,8,0.0055512474,-0.033522926,-0.02461211,-0.03631348,0.8738395,0.8018942,0.045667406,0.03999602,0.012098693,0.01015348,0.6552479,0.63976556,0.8960304,0.8545622,0.896126,0.83585143,0.72215724,0.7435566,0.4439926,0.55383706,0.4437998,0.47595933,0.6917289,0.6554875
0,0,0,0,6,6,0.02340493,-0.019594572,0.06308919,0.055462066,0.9019722,0.818162,-0.9711282,-1.020388,-1.0309774,-1.0800524,-0.29976794,-0.32975286,0.89536065,0.8525661,0.87573594,0.7939719,0.72208285,0.7435566,0.44534174,0.4965514,0.4827904,0.5566003,0.6918066,0.6554875
0,0,0,0,6,6,0.039554488,0.027913831,0.026953978,0.022532336,0.9393544,0.35050845,-0.5710402,-0.6252601,-0.7210778,-0.6774916,0.08708353,0.088452496,0.896126,0.8540368,0.9410992,0.97949076,0.7223061,0.7435566,0.4437998,0.55571675,0.33813047,0.33518773,0.6915735,0.6554875
0,0,0,0,6,6,0.080460064,0.057126608,0.2277749,0.23626226,0.7776437,0.715657,-0.5928933,-0.46986976,-0.7326624,-0.68500376,-0.044114526,-0.03836327,0.8960304,0.8868605,0.86024874,0.8270875,0.72215724,0.7435566,0.4439926,0.49528277,0.50987464,0.49326125,0.6917289,0.6554875
0,0,0,0,6,6,-0.06117946,-0.054120474,0.110717155,0.10487795,-0.91900706,-0.9676121,-0.31763995,-0.3477104,-0.33478603,-0.31239513,0.32130492,0.27584004,0.896126,0.9144893,0.89622146,0.8850442,0.7223061,0.7435566,0.4437998,0.37535414,0.44360694,0.49456134,0.6915735,0.6554875
0,0,0,0,6,6,-0.14393605,-0.17003134,0.69012785,0.624922,0.96235216,0.86643267,-1.0244837,-0.87771624,-1.0805651,-1.0657494,-0.37035045,-0.40185553,0.8960304,0.83516973,0.89468884,0.77215105,0.72215724,0.7435566,0.4439926,0.47807962,0.44668987,0.5965513,0.6917289,0.6554875
