tension,resonance,longevity,quality
0.035003,10.03705,30/09/2021,0
0.1,6.93705,28/08/2021,0
5.205003,2.93705,11/06/2018,6
0.035003,10.03705,14/09/2021,0
0.035003,10.03705,12/08/2019,0
5.205003,2.71705,08/06/2023,6
0.035004,10.0453,14/09/2021,0
0.1,5.9453,12/10/2025,0
5.205004,2.9353,08/06/2022,6
0.035036,10,16/09/2021,0
0.035036,9.3,14/09/2021,0
5.205036,2.93,10/06/2019,6
0.035036,10,30/09/2021,0
0.1,10,28/10/2021,0
5.205036,2.54,11/06/2021,6
0.0351,10.0632467,14/09/2021,0
0.0351,8.5632467,12/09/2022,0
5.2051,17.6532467,08/06/2016,6
0.0352,10.04819,14/09/2021,0
0.1,13.34819,12/10/2017,0
5.2052,2.47819,08/06/2025,6
0.0352,10.04819,16/09/2021,0
0.0352,10.04819,14/09/2025,1
5.2052,17.88819,10/06/2022,6
0.0352,10.02895,30/09/2021,0
0.1,10.02895,28/08/2021,0
5.2052,2.98895,11/06/2022,6
0.03525,10,14/09/2021,0
0.03525,12.4,12/09/2021,1
5.20525,2.41,08/06/2026,6
0.03525,10,14/09/2021,0
0.03525,10,12/09/2017,0
5.20525,2.17,08/06/2022,6
0.0353,10,16/09/2021,0
0.0353,10,14/10/2021,0
5.2053,17.22,10/06/2022,6
0.0353,10.06284,30/09/2021,0
0.1,9.66284,28/09/2023,0
5.2053,17.33284,11/06/2016,6
0.0354,10.09829,14/09/2021,0
0.0354,7.99829,12/09/2021,0
5.2054,2.13829,08/06/2021,6
0.035499,10.17102,14/09/2021,0
0.035499,10.17102,12/10/2018,1
5.205499,17.75102,08/06/2021,6
0.035499,10.0304,16/09/2021,0
0.035499,10.0304,14/10/2023,0
5.205499,17.9104,10/06/2021,6
0.035499,10.0304,30/09/2021,0
0.035499,11.1304,28/09/2025,0
5.205499,17.8104,11/06/2017,6
0.035499,10.0304,14/09/2021,0
1.135499,15.7304,12/09/2024,0
5.205499,2.4104,08/06/2023,6
0.035499,10.04404,14/09/2021,0
0.1,8.44404,12/10/2019,0
5.205499,2.18404,08/06/2018,6
0.0355,10,16/09/2021,0
0.0355,15.5,14/10/2021,0
5.2055,2.63,10/06/2022,6
0.0355,10,30/09/2021,0
0.0355,15.4,28/09/2021,0
