raw_actual_anchor_quality,anchor_quality_logits_recon,raw_actual_positive_quality,positive_quality_logits_recon,raw_actual_negative_quality,negative_quality_logits_recon,raw_actual_anchor_resonance,anchor_resonance_recon,raw_actual_positive_resonance,positive_resonance_recon,raw_actual_negative_resonance,negative_resonance_recon,raw_actual_anchor_tension,anchor_tension_recon,raw_actual_positive_tension,positive_tension_recon,raw_actual_negative_tension,negative_tension_recon,raw_actual_anchor_longevity_cos,anchor_longevity_cos_recon,raw_actual_positive_longevity_cos,positive_longevity_cos_recon,raw_actual_negative_longevity_cos,negative_longevity_cos_recon,raw_actual_anchor_longevity_sin,anchor_longevity_sin_recon,raw_actual_positive_longevity_sin,positive_longevity_sin_recon,raw_actual_negative_longevity_sin,negative_longevity_sin_recon
0,0,0,0,6,6,-0.032662623,-0.04763657,0.69564587,0.8077607,-0.8786422,-0.8290994,-0.4413107,-0.41983703,-0.3598779,-0.29487398,0.25172338,0.19699165,0.89536065,0.91661984,0.8969362,0.8699045,0.72208285,0.74360675,0.44534174,0.4374732,0.44216004,0.47642323,0.6918066,0.6554956
2,2,2,2,8,8,0.028935302,0.029480115,-0.58084106,-0.6920774,-0.9721891,-1.0320884,-0.040298887,-0.047723174,-0.0048431614,0.000798963,0.7347058,0.6841385,0.896126,0.91456306,0.8157298,0.8248791,0.7223061,0.74360675,0.4437998,0.37538898,0.5784331,0.55933183,0.6915735,0.6554956
0,0,0,0,6,6,-0.035536084,-0.051205456,-0.03378737,-0.025135428,0.92436755,0.8508227,-0.36571845,-0.32054302,-0.30298612,-0.30237195,0.37525225,0.39477047,0.8960304,0.94644815,0.81753063,0.8019781,0.72215724,0.74360675,0.4439926,0.37651116,0.5758852,0.60352296,0.6917289,0.6554956
0,0,0,0,6,6,-0.012944498,-0.03497033,-0.58396554,-0.3910829,-0.8733863,-0.9413197,-0.20439136,-0.19020852,0.11699303,0.14189214,0.37671885,0.32877943,0.896126,0.80677336,0.897696,0.85628647,0.7223061,0.74360675,0.4437998,0.53589493,0.44061536,0.55230385,0.6915735,0.6554956
0,0,0,0,6,6,0.034573946,0.028765067,-0.01792059,-0.031921506,-0.8838702,-1.1778088,-0.23964818,-0.22890538,-0.3132242,-0.31583545,0.34235105,0.3306269,0.896126,0.88427085,0.89622146,0.9144455,0.7223061,0.74360675,0.4437998,0.43447033,0.44360694,0.43462265,0.6915735,0.6554956
2,2,3,3,8,8,-0.072561346,-0.101521015,0.09700391,0.09385186,0.8506756,0.8869486,-0.15951197,-0.16733044,-0.26465154,-0.26295263,0.3861918,0.4125357,0.896126,0.8533928,0.92709875,0.94053787,0.7223061,0.74360675,0.4437998,0.49552596,0.37481716,0.34431157,0.6915735,0.6554956
0,0,1,1,6,6,-0.0067158206,-0.02829875,0.24637745,0.22521275,0.8937287,1.1714698,-0.59417474,-0.6847749,-0.5928591,-0.5756376,0.099229604,0.062492408,0.896126,0.885434,0.8781146,0.91776943,0.7223061,0.74360675,0.4437998,0.49640757,0.47845045,0.42043036,0.6915735,0.6554956
0,0,0,0,6,6,0.008473035,-0.007694654,-0.029479554,-0.056729972,-1.0368656,-1.2061843,-0.40823156,-0.4253741,-0.3406936,-0.32761517,0.2644821,0.23321101,0.896126,0.9143157,0.9421857,0.8535704,0.7223061,0.74360675,0.4437998,0.4348156,0.33509117,0.50616497,0.6915735,0.6554956
2,2,3,3,8,8,0.07781683,0.06469917,0.49237502,0.5095072,-0.9647067,-0.81739116,-0.048163146,-0.06501888,0.4059694,0.47662553,0.6651902,0.78394264,0.896126,0.80463195,0.95461494,0.95421684,0.7223061,0.74360675,0.4437998,0.5965859,0.2978428,0.40131682,0.6915735,0.6554956
0,0,0,0,6,6,0.030269114,0.01542595,-0.044293046,-0.002385877,-0.98358613,-0.6689346,-0.0012691543,0.0033537075,0.31154865,0.43055,0.58840126,0.781504,0.896126,0.8822745,0.894785,0.8826227,0.7223061,0.74360675,0.4437998,0.43393397,0.44649735,0.43721962,0.6915735,0.6554956
0,0,0,0,6,6,-0.005708544,-0.0074136257,0.4359245,0.34955603,-0.8939016,-0.86931,-0.2765016,-0.2600097,-0.047409434,-0.011927046,0.3667169,0.353773,0.8960304,0.8354341,0.81560534,0.8190813,0.72215724,0.74360675,0.4439926,0.5356519,0.57860863,0.5711874,0.6917289,0.6554956
0,0,0,0,6,6,0.0376623,0.05496689,-0.047359277,-0.034151375,0.85798043,0.7735088,-1.0056344,-0.8517381,-1.0583366,-1.0850695,-0.34815583,-0.33058432,0.896126,0.91631204,0.95461494,0.8810626,0.7223061,0.74360675,0.4437998,0.4353519,0.2978428,0.46168983,0.6915735,0.6554956
0,0,0,0,6,6,-0.054104067,-0.06776655,-0.4488991,-0.44388363,0.8291091,0.86696815,-0.34184644,-0.3195612,-0.24831837,-0.22770676,0.24260177,0.29157916,0.8960304,0.8513114,0.9545508,1.0016185,0.72215724,0.74360675,0.4439926,0.49512517,0.2980482,0.30055454,0.6917289,0.6554956
0,0,0,0,6,6,-0.08189331,-0.11197379,-0.33701342,-0.3313072,-0.9548886,-1.1155014,-0.61468494,-0.60228765,-0.122990094,-0.11385117,0.084566765,0.07437829,0.89536065,0.85125107,0.8954565,0.86511004,0.72208285,0.74360675,0.44534174,0.49420476,0.44514906,0.47761363,0.6918066,0.6554956
2,2,3,3,8,8,-0.04331453,-0.040309638,-0.24432191,-0.21726415,-0.9552427,-0.83920026,0.0965549,0.10042555,0.37301645,0.36562008,0.6620249,0.66215074,0.896126,0.8980908,0.8797054,0.9202712,0.7223061,0.74360675,0.4437998,0.41790396,0.47551906,0.41662055,0.6915735,0.6554956
0,0,0,0,6,6,-0.002414068,-0.009988964,0.09653551,0.07684876,-0.8296541,-1.0242751,-0.4576159,-0.3826113,-0.5036471,-0.48520806,0.22657935,0.19743448,0.89536065,0.8846021,0.8954565,0.8866135,0.72208285,0.74360675,0.44534174,0.49751198,0.44514906,0.49606463,0.6918066,0.6554956
0,0,0,0,6,6,0.015206543,-0.005577944,-0.6190215,-0.42351297,-0.90019584,-0.9302461,-0.21177284,-0.19929458,0.07736335,0.05035446,0.39457777,0.42456517,0.8960304,0.94644815,0.8585434,0.86591494,0.72215724,0.74360675,0.4439926,0.37651116,0.5127409,0.5083685,0.6917289,0.6554956
0,0,1,1,6,6,-0.07343011,-0.067988634,0.60746294,0.7059525,-0.935146,-0.9792557,-0.5234657,-0.49797314,-0.5397106,-0.6332385,0.06370054,0.093625225,0.896126,0.91631204,0.89622146,0.9467603,0.7223061,0.74360675,0.4437998,0.4353519,0.44360694,0.37603006,0.6915735,0.6554956
0,0,1,1,6,6,-0.044113915,-0.035408184,0.027765648,0.015323006,-0.91426843,-1.2236832,-0.50469244,-0.48893017,-0.41761583,-0.39176452,0.1687235,0.18984145,0.8960304,0.94644815,0.8780116,0.86692566,0.72215724,0.74360675,0.4439926,0.37651116,0.47863936,0.51838094,0.6917289,0.6554956
2,2,2,2,8,8,0.0055512474,-0.030217513,-0.02461211,-0.03491369,0.8738395,0.80169535,0.045667406,0.038126595,0.012098693,0.0076084957,0.6552479,0.63814366,0.8960304,0.8549637,0.896126,0.8357574,0.72215724,0.74360675,0.4439926,0.55377215,0.4437998,0.47610372,0.6917289,0.6554956
0,0,0,0,6,6,0.02340493,-0.016802311,0.06308919,0.056500074,0.9019722,0.8182603,-0.9711282,-1.0707589,-1.0309774,-1.0193583,-0.29976794,-0.3290621,0.89536065,0.8526854,0.87573594,0.7939925,0.72208285,0.74360675,0.44534174,0.49663383,0.4827904,0.5565547,0.6918066,0.6554956
0,0,0,0,6,6,0.039554488,0.028318793,0.026953978,0.022026852,0.9393544,0.35069874,-0.5710402,-0.59839284,-0.7210778,-0.6137109,0.08708353,0.0871531,0.896126,0.8544537,0.9410992,0.97966576,0.7223061,0.74360675,0.4437998,0.55566245,0.33813047,0.33527797,0.6915735,0.6554956
0,0,0,0,6,6,0.080460064,0.058364823,0.2277749,0.23584089,0.7776437,0.71556664,-0.5928933,-0.44952825,-0.7326624,-0.71837914,-0.044114526,-0.03643596,0.8960304,0.887226,0.86024874,0.8270044,0.72215724,0.74360675,0.4439926,0.49527475,0.50987464,0.4933986,0.6917289,0.6554956
